_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs/0/WhPerMile,userInputs/0/kWhRequested,userInputs/0/milesRequested,userInputs/0/minutesAvailable,userInputs/0/modifiedAt,userInputs/0/paymentRequired,userInputs/0/requestedDeparture,userInputs/0/userID,userInputs/0,userInputs/1/WhPerMile,userInputs/1/kWhRequested,userInputs/1/milesRequested,userInputs/1/minutesAvailable,userInputs/1/modifiedAt,userInputs/1/paymentRequired,userInputs/1/requestedDeparture,userInputs/1/userID,userInputs/2/WhPerMile,userInputs/2/kWhRequested,userInputs/2/milesRequested,userInputs/2/minutesAvailable,userInputs/2/modifiedAt,userInputs/2/paymentRequired,userInputs/2/requestedDeparture,userInputs/2/userID,userInputs/3/WhPerMile,userInputs/3/kWhRequested,userInputs/3/milesRequested,userInputs/3/minutesAvailable,userInputs/3/modifiedAt,userInputs/3/paymentRequired,userInputs/3/requestedDeparture,userInputs/3/userID,userInputs/4/WhPerMile,userInputs/4/kWhRequested,userInputs/4/milesRequested,userInputs/4/minutesAvailable,userInputs/4/modifiedAt,userInputs/4/paymentRequired,userInputs/4/requestedDeparture,userInputs/4/userID,userInputs/5/WhPerMile,userInputs/5/kWhRequested,userInputs/5/milesRequested,userInputs/5/minutesAvailable,userInputs/5/modifiedAt,userInputs/5/paymentRequired,userInputs/5/requestedDeparture,userInputs/5/userID,userInputs/6/WhPerMile,userInputs/6/kWhRequested,userInputs/6/milesRequested,userInputs/6/minutesAvailable,userInputs/6/modifiedAt,userInputs/6/paymentRequired,userInputs/6/requestedDeparture,userInputs/6/userID,userInputs/7/WhPerMile,userInputs/7/kWhRequested,userInputs/7/milesRequested,userInputs/7/minutesAvailable,userInputs/7/modifiedAt,userInputs/7/paymentRequired,userInputs/7/requestedDeparture,userInputs/7/userID,userInputs/8/WhPerMile,userInputs/8/kWhRequested,userInputs/8/milesRequested,userInputs/8/minutesAvailable,userInputs/8/modifiedAt,userInputs/8/paymentRequired,userInputs/8/requestedDeparture,userInputs/8/userID,userInputs/9/WhPerMile,userInputs/9/kWhRequested,userInputs/9/milesRequested,userInputs/9/minutesAvailable,userInputs/9/modifiedAt,userInputs/9/paymentRequired,userInputs/9/requestedDeparture,userInputs/9/userID
5fdd57b7f9af8b16e6675dd0,39,"Fri, 20 Nov 2020 13:56:11 GMT","Fri, 20 Nov 2020 19:31:52 GMT","Fri, 20 Nov 2020 15:29:18 GMT",9.683,2_39_131_30_2020-11-20 13:56:03.696292,2,CA-305,2-39-131-30,America/Los_Angeles,8677.0,310.0,15.5,50.0,240.0,"Fri, 20 Nov 2020 13:56:11 GMT",True,"Fri, 20 Nov 2020 17:56:11 GMT",8677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b7f9af8b16e6675dd1,39,"Fri, 20 Nov 2020 15:17:56 GMT","Fri, 20 Nov 2020 15:46:33 GMT",,11.106,2_39_81_4550_2020-11-20 15:17:56.195814,2,11900388,2-39-81-4550,America/Los_Angeles,9266.0,300.0,48.0,160.0,461.0,"Fri, 20 Nov 2020 15:18:27 GMT",True,"Fri, 20 Nov 2020 22:58:56 GMT",9266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b7f9af8b16e6675dd2,39,"Fri, 20 Nov 2020 16:20:35 GMT","Fri, 20 Nov 2020 19:06:06 GMT","Fri, 20 Nov 2020 17:18:30 GMT",3.608,2_39_79_380_2020-11-20 16:20:34.999856,2,CA-489,2-39-79-380,America/Los_Angeles,751.0,340.0,20.4,60.0,360.0,"Fri, 20 Nov 2020 16:20:35 GMT",True,"Fri, 20 Nov 2020 22:20:35 GMT",751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b7f9af8b16e6675dd3,39,"Fri, 20 Nov 2020 19:02:31 GMT","Fri, 20 Nov 2020 23:17:18 GMT","Fri, 20 Nov 2020 20:07:04 GMT",6.401,2_39_95_27_2020-11-20 19:02:21.892481,2,CA-319,2-39-95-27,America/Los_Angeles,2461.0,2000.0,200.0,100.0,300.0,"Fri, 20 Nov 2020 19:02:31 GMT",True,"Sat, 21 Nov 2020 00:02:31 GMT",2461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b7f9af8b16e6675dd4,39,"Fri, 20 Nov 2020 20:00:00 GMT","Sat, 21 Nov 2020 04:12:43 GMT","Fri, 20 Nov 2020 21:55:11 GMT",6.009,2_39_139_28_2020-11-20 19:59:46.036236,2,CA-303,2-39-139-28,America/Los_Angeles,5594.0,250.0,25.0,100.0,480.0,"Fri, 20 Nov 2020 19:59:59 GMT",True,"Sat, 21 Nov 2020 04:00:00 GMT",5594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b7f9af8b16e6675dd5,39,"Fri, 20 Nov 2020 22:11:07 GMT","Sat, 21 Nov 2020 03:44:38 GMT","Fri, 20 Nov 2020 23:08:25 GMT",1.916,2_39_78_365_2020-11-20 22:11:06.923773,2,CA-321,2-39-78-365,America/Los_Angeles,1082.0,290.0,5.8,20.0,120.0,"Fri, 20 Nov 2020 22:11:48 GMT",True,"Sat, 21 Nov 2020 00:11:07 GMT",1082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b7f9af8b16e6675dd6,39,"Fri, 20 Nov 2020 23:55:56 GMT","Sat, 21 Nov 2020 01:00:58 GMT","Sat, 21 Nov 2020 00:59:30 GMT",1.834,2_39_125_21_2020-11-20 23:55:55.850502,2,CA-311,2-39-125-21,America/Los_Angeles,1746.0,350.0,35.0,100.0,534.0,"Fri, 20 Nov 2020 23:56:12 GMT",True,"Sat, 21 Nov 2020 08:49:56 GMT",1746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b7f9af8b16e6675dd7,39,"Sat, 21 Nov 2020 00:50:33 GMT","Sat, 21 Nov 2020 01:18:59 GMT",,15.416,2_39_81_4550_2020-11-21 00:50:30.786067,2,11900388,2-39-81-4550,America/Los_Angeles,9283.0,319.0,28.71,90.0,270.0,"Sat, 21 Nov 2020 00:50:33 GMT",True,"Sat, 21 Nov 2020 05:20:33 GMT",9283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b9f9af8b16e6675dd8,39,"Sat, 21 Nov 2020 17:28:00 GMT","Sat, 21 Nov 2020 17:51:19 GMT","Sat, 21 Nov 2020 17:51:14 GMT",0.849,2_39_139_28_2020-11-21 17:28:00.146378,2,CA-303,2-39-139-28,America/Los_Angeles,1539.0,290.0,5.8,20.0,120.0,"Sat, 21 Nov 2020 17:29:53 GMT",True,"Sat, 21 Nov 2020 19:28:00 GMT",1539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b9f9af8b16e6675dd9,39,"Sat, 21 Nov 2020 19:14:50 GMT","Sat, 21 Nov 2020 19:27:54 GMT","Sat, 21 Nov 2020 19:27:49 GMT",0.754,2_39_138_29_2020-11-21 19:14:49.916231,2,CA-304,2-39-138-29,America/Los_Angeles,9048.0,450.0,45.0,100.0,480.0,"Sat, 21 Nov 2020 19:15:22 GMT",True,"Sun, 22 Nov 2020 03:14:50 GMT",9048.0,,450.0,13.5,30.0,160.0,"Sat, 21 Nov 2020 19:19:29 GMT",True,"Sat, 21 Nov 2020 21:54:50 GMT",9048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
